Goalie,Jersey,Team,GP,MIN,W,L,T,SO,GA,GAA,SV,SV%
Randall Miller,1,California Wildfires (NBHL Cal),1,30:00:00,0,1,0,0,2,4,0,0
Richie Scott,36,South Jersey Vikings (NBHL NJ(2)),2,0:00,0,0,2,2,0,0,0,0
Robbie Mangini,30,Lakeland Caribou (NBHL NJ),1,30:00:00,1,0,0,0,1,2,0,0
Rocco Giampietro,22,Belmont Heights Kings (NBHL CHI),1,30:00:00,0,1,0,0,5,10,0,0
Ryan Nix,27,Steel City Show Stoppers (NBHL PIT),1,30:00:00,0,1,0,0,4,8,17,0.81
Scot Flanagan,1,Seattle Cold Snacks (NBHL PNW),2,60:00:00,2,0,0,0,2,2,0,0
Sean Thompson,31,SoCal Royalty (NBHL Cal),2,60:00:00,0,2,0,0,3,3,0,0
Tom Altomare,38,Mid Jersey Mutants (NBHL NJ(2)),1,31:45:00,1,0,0,0,1,1.89,0,0
Towner French,1,Falls Church Phantoms (NBHL D.C),2,91:26:00,0,2,0,0,10,6.56,0,0
Tyler Crawford,33,Oak Ridge Owls (NBHL MA),2,61:00:00,0,2,0,0,9,8.85,0,0
Wade Bittner,69,Chicago Dolphins (NBHL CHI),1,30:00:00,0,1,0,0,6,12,0,0
Winston Hacking,33,Portland Golden Eagles (NBHL PNW),2,67:11:00,1,1,0,0,4,3.57,0,0
Zac Carcanague,17,New Jersey Dudes (NBHL NJ(2)),2,60:00:00,0,2,0,0,9,9,0,0
Zach Balestrieri,39,Mon Valley Warbirds (NBHL PIT),2,60:00:00,1,1,0,0,5,5,54,0.915
