Goalie,Jersey,Team,GP,MIN,W,L,T,SO,GA,GAA,SV,SV%
Jeff Clem,33,South Jersey Best Friends (NBHL NJ(2)),7,210:00:00,6,1,0,1,18,5.14,0,0
Mike Durden,40,South Shore Shamrocks (NBHL NE),7,210:00:00,4,3,0,0,18,5.14,143,0.888
Jimmy Hughes,41,Philadelphia Fear (NBHL PHI),3,93:00:00,0,2,1,1,8,5.16,0,0
Jimmy Burkitt,88,Pennsylvania Nights Watch (NBHL PHI),5,150:19:00,2,3,0,0,13,5.19,0,0
Joe Sheehan,31,Penn Hills Battalion (NBHL PIT),6,185:00:00,3,3,0,0,16,5.19,121,0.883
Wade Bittner,69,Chicago Dolphins (NBHL CHI),8,242:05:00,4,4,0,0,21,5.2,0,0
Drew Liszewski,38,Marlton Illuminati (NBHL NJ(2)),3,90:00:00,2,1,0,0,8,5.33,0,0
Joe Roccia,34,South Jersey Vikings (NBHL NJ(2)),7,211:32:00,5,2,0,1,19,5.39,0,0
Jake Brum,31,Rhode Island Angry Goats (NBHL NE),4,120:00:00,1,3,0,0,11,5.5,107,0.907
Ken Layne,31,Lowell Lizard Kings (NBHL MA),4,120:00:00,2,2,0,0,11,5.5,67,0.859
Joshua Lauzus,75,Burnside Bears (NBHL PNW),5,151:19:00,1,4,0,0,14,5.55,0,0
Zach Balestrieri,39,Mon Valley Warbirds (NBHL PIT),7,205:00:00,4,3,0,0,19,5.56,188,0.908
Anthony Firmani,1,Twin City Classics (NBHL MA),10,308:00:00,4,6,0,1,29,5.65,198,0.872
Matthew Charboneau,34,South Jersey Atlantis (NBHL NJ(2)),10,305:00:00,7,3,0,2,29,5.7,0,0
Michael Zambon,31,New Jersey Force (NBHL NJ),3,90:00:00,0,3,0,0,9,6,69,0.885
Calvin OConnell,98,New Jersey Huskies (NBHL NJ),9,283:14:00,4,5,0,1,29,6.14,195,0.871
Mike Roginsky,0,Pitcairn Governors (NBHL PIT),5,155:00:00,3,2,0,1,16,6.19,96,0.857
Tom Altomare,38,Mid Jersey Mutants (NBHL NJ(2)),4,125:00:00,2,2,0,0,13,6.24,0,0
Pete Consentino,1,Steel City Show Stoppers (NBHL PIT),7,209:00:00,5,2,0,0,22,6.32,163,0.881
Mike Tesauro,35,Dallas Fort Worth Marksmen (NBHL TX),6,161:23:00,2,4,0,0,18,6.69,101,0.849
Jeff Munkelt,34,Nickel City Smoke (NBHL BUF),6,188:00:00,4,2,0,0,21,6.7,96,0.821
Taylor Dennard,33,Austin Arsenal (NBHL TX),8,241:57:00,4,4,0,1,27,6.7,170,0.863
Joseph Merkle,43,Camden County Cobras (NBHL NJ(2)),10,300:00:00,4,6,0,1,35,7,0,0
Nick Molinari,32,Lowell Lizard Kings (NBHL MA),6,187:19:00,1,5,0,1,22,7.05,127,0.852
Fill In Goalie,0,Pennsylvania Nights Watch (NBHL PHI),3,93:00:00,0,2,1,1,11,7.1,0,0
Nick McCleary,35,GT Mighty Drunks (NBHL NJ(2)),10,300:00:00,2,8,0,1,36,7.2,0,0
Matthew McCracken,36,Edison Electric (NBHL NJ(2)),8,240:00:00,0,8,0,0,29,7.25,0,0
Dan Cohen,30,New Jersey Force (NBHL NJ),3,89:00:00,0,3,0,0,11,7.42,72,0.867
Dylan Poris,2,Marlton Illuminati (NBHL NJ(2)),7,209:00:00,2,5,0,0,27,7.75,0,0
Dominic Massaro,39,South Shore Shamrocks (NBHL NE),3,92:25:00,2,1,0,0,12,7.79,76,0.864
Rocco Giampietro,22,Belmont Heights Kings (NBHL CHI),10,305:00:00,1,9,0,1,41,8.07,0,0
Chris Buscanera,28,Fitchburg Flakes (NBHL MA),6,155:00:00,0,5,1,0,21,8.13,87,0.806
Chris Bonanca,40,Rhode Island Angry Goats (NBHL NE),6,180:00:00,2,4,0,1,26,8.67,157,0.858
John Dominick,31,Pitcairn Governors (NBHL PIT),5,152:15:00,1,4,0,1,22,8.67,103,0.824
Frank Golojuch,1,Rochester Rink Rats (NBHL BUF),9,278:00:00,2,7,0,0,42,9.06,194,0.822
Jonny Correia,31,Fall River Reapers (NBHL NE),7,210:00:00,0,7,0,0,32,9.14,218,0.872
Brandon Petticord,1,Mon Valley Warbirds (NBHL PIT),4,102:40:00,1,2,1,0,17,9.94,83,0.83
Devin Kaschinske,2,California Wildfires (NBHL Cal),4,120:00:00,0,4,0,0,20,10,0,0
Joe Pier,30,Philadelphia Fear (NBHL PHI),6,174:01:00,0,6,0,0,29,10,0,0
Randall Miller,1,California Wildfires (NBHL Cal),5,151:52:00,0,5,0,0,26,10.27,53,0.671
Ryan Casacci,31,Queen City Quake (NBHL BUF),9,273:00:00,2,7,0,0,47,10.33,172,0.785
Jeff Trojan,35,North Hills Militia (NBHL PIT),7,210:00:00,2,5,0,0,37,10.57,138,0.789
Sean Bednar,30,Pittsburgh As is Tradition (NBHL PIT),10,300:00:00,0,10,0,0,53,10.6,289,0.845
Tommy LeBlanc,85,Mass Bay Thunderducks (NBHL MA),10,300:00:00,1,9,0,0,56,11.2,240,0.811
FIll In Goalie,1,California Pama Golden Knights (NBHL Cal),4,120:00:00,0,4,0,0,23,11.5,31,0.574
Brendt Winters,0,South Sound Sabercats (NBHL PNW),8,240:00:00,3,5,0,0,47,11.75,0,0
Keith Dugan,79,South Jersey Mighty Pints (NBHL NJ(2)),4,120:00:00,0,4,0,0,24,12,0,0
Richie Scott,36,South Jersey Vikings (NBHL NJ(2)),10,30:00:00,0,1,9,9,6,12,0,0
Fill in Goalie,30,South Jersey Mighty Pints (NBHL NJ(2)),6,180:00:00,0,6,0,0,39,13,0,0
Zach Sidilau,31,Fitchburg Flakes (NBHL MA),6,150:00:00,0,5,1,0,34,13.6,110,0.764
Randy Treibel,21,Seattle Leafs (NBHL PNW),4,120:00:00,1,3,0,0,29,14.5,0,0
Willie Bence,93,Seattle Leafs (NBHL PNW),3,90:00:00,0,3,0,0,24,16,0,0
Alain Savage,13,Red River Hot Sauce (NBHL TX),1,30:00:00,1,0,0,0,1,2,14,0.933
Allan Galisewski,30,New Jersey Dudes (NBHL NJ(2)),2,60:00:00,2,0,0,0,3,3,0,0
Andrew Carter,99,Oak Ridge Owls (NBHL MA),2,62:31:00,2,0,0,0,7,6.72,35,0.833
Brandon Jones,1,Cleghorn Crooks (NBHL MA),1,30:57:00,1,0,0,0,2,3.88,24,0.923
