Player,Jersey,Team,GP,G,A,PTS,PIM,PPG
Kenny Jones,98,Bay Area Bashers (NBHL Cal),1,0,0,0,0,0
Kenny Patrone,12,Bellmawr Hawks (NBHL NJ),3,0,0,0,2,0
Kenny Schmidt,97,Chicago Raiders (NBHL CHI),2,0,0,0,0,0
Kevin Bever,23,Orange County Wolves (NBHL Cal),2,0,0,0,0,0
Kevin Elfenbein,8,Washington D.C Haze (NBHL D.C),1,0,0,0,2,0
Kevin Fischer,74,Liverpool Hockey Club (NBHL BUF),2,0,0,0,0,0
Kevin Long,22,Liverpool Hockey Club (NBHL BUF),2,0,0,0,0,0
Kevin Ober,3,Camden County Cobras (NBHL NJ(2)),2,0,0,0,0,0
Kevin Osherow,10,Evesham Tortugas (NBHL NJ),1,0,0,0,0,0
Kevin Perlow,24,Washington D.C Haze (NBHL D.C),3,0,0,0,2,0
Kevin Racine,8,Seattle Leafs (NBHL PNW),2,0,0,0,0,0
Kevin Robbins,12,Las Vegas Shiners (NBHL Cal),1,0,0,0,0,0
Kolby Barber,88,South Jersey Atlantis (NBHL NJ(2)),2,0,0,0,0,0
Kyle Ballschneider,93,New Jersey Dudes (NBHL NJ(2)),2,0,0,0,0,0
Kyle Bokuniewicz,19,Lowell Lizard Kings (NBHL MA),1,0,0,0,0,0
Kyle Eichinger,77,Pennsylvania Nights Watch (NBHL PHI),2,0,0,0,0,0
Kyle Hassay,7,California Wildfires (NBHL Cal),1,0,0,0,0,0
Kyle Kauffman,17,Philadelphia Fear (NBHL PHI),2,0,0,0,0,0
Kyle Koskovich,4,South Sound Sabercats (NBHL PNW),1,0,0,0,0,0
Kyle Laggner,15,Portland Golden Eagles (NBHL PNW),2,0,0,0,0,0
Kyle Lanich,17,Buffalo Goodfellas (NBHL BUF),4,0,0,0,2,0
Kyle Pacheco,3,Providence Iron Stags (NBHL NE),5,0,0,0,2,0
Larry Walker,2,Camden County Cobras (NBHL NJ(2)),2,0,0,0,2,0
Lee Nogler,33,Lowell Lizard Kings (NBHL MA),1,0,0,0,0,0
Lemar Ortiz,4,Austin Arsenal (NBHL TX),3,0,0,0,0,0
Lenny Owen,8,Seattle Leafs (NBHL PNW),2,0,0,0,0,0
Lenny Rieco,5,Philadelphia Fear (NBHL PHI),2,0,0,0,0,0
Leo Trombley,13,Boston Ball Hockey Team (NBHL MA),2,0,0,0,0,0
Lester Wilson,33,Cleghorn Crooks (NBHL MA),5,0,0,0,0,0
Logan Everett,88,Central Mass Sea Bass (NBHL MA),6,0,0,0,0,0
Logan Winters,13,South Sound Sabercats (NBHL PNW),1,0,0,0,2,0
London Peters,16,California Wildfires (NBHL Cal),1,0,0,0,0,0
Lorissa Sernus,26,Chicago Southsiders (NBHL CHI),3,0,0,0,0,0
Lou Mangini,3,Chicago Southsiders (NBHL CHI),3,0,0,0,0,0
Luke Jones,81,Red River Hot Sauce (NBHL TX),2,0,0,0,0,0
Luke Pajari,77,Twin City Classics (NBHL MA),1,0,0,0,0,0
Marc Bass,4,Falls Church Phantoms (NBHL D.C),2,0,0,0,0,0
Marc Belbis,94,Burnside Bears (NBHL PNW),1,0,0,0,0,0
Marek Skosnik,23,SoCal Royalty (NBHL Cal),2,0,0,0,2,0
Mario Corsaro,4,Camden County Cobras (NBHL NJ(2)),2,0,0,0,2,0
Mark Abrams,10,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,0,0
Mark Farenga,13,Chicago Dolphins (NBHL CHI),1,0,0,0,0,0
Mark Kiesel,90,Pitcairn Governors (NBHL PIT),4,0,0,0,0,0
Mark Lesher,81,Bellmawr Hawks (NBHL NJ),3,0,0,0,0,0
Mark Lukaszewicz,7,Belmont Heights Kings (NBHL CHI),1,0,0,0,0,0
Mark Mager,94,Maryland Sparks (NBHL D.C),6,0,0,0,0,0
Mark ONeill,19,South Shore Shamrocks (NBHL NE),3,0,0,0,0,0
Mark Quillen,12,New Jersey Dudes (NBHL NJ(2)),1,0,0,0,0,0
Mark Rekasis,21,Chicago Raiders (NBHL CHI),1,0,0,0,0,0
Mark Surra,23,Las Vegas Shiners (NBHL Cal),1,0,0,0,0,0
Marty Overline,80,Philadelphia Heat (NBHL PHI),2,0,0,0,0,0
Mason Cook,11,California Wildfires (NBHL Cal),1,0,0,0,0,0
Mason Jeggers,29,Belmont Heights Kings (NBHL CHI),1,0,0,0,0,0
Mathew Albert,51,Twin City Classics (NBHL MA),1,0,0,0,0,0
Mathew Kramsky,17,Camden County Cobras (NBHL NJ(2)),2,0,0,0,0,0
Matt Cich,18,Buffalo Goodfellas (NBHL BUF),4,0,0,0,0,0
Matt Cook,17,Harrisburg Hustle (NBHL PHI),2,0,0,0,2,0
Matt Ethell,17,Chicago Dolphins (NBHL CHI),1,0,0,0,0,0
Matt Fair,29,South Jersey Nights Watch (NBHL NJ),4,0,0,0,2,0
Matt Gottfried,11,Bay Area Bashers (NBHL Cal),1,0,0,0,0,0
Matt Halpin,9,Mid Jersey Mutants (NBHL NJ(2)),7,0,0,0,0,0
Matt McClure,88,Rhode Island Angry Goats (NBHL NE),2,0,0,0,0,0
Matt McCormick,9,Bay Area Bashers (NBHL Cal),1,0,0,0,0,0
Matt Migale,24,Steel City Show Stoppers (NBHL PIT),2,0,0,0,0,0
Matt Reyes,66,Austin Arsenal (NBHL TX),3,0,0,0,0,0
Matt Twele,67,Washington D.C Haze (NBHL D.C),1,0,0,0,14,0
Matt Vieira,9,Rhode Island Angry Goats (NBHL NE),2,0,0,0,0,0
Matt Wagner,1,South Jersey Vikings (NBHL NJ(2)),2,0,0,0,0,0
Matt Wheeler,3,Oak Ridge Owls (NBHL MA),2,0,0,0,0,0
Matt Zilinskas,50,Bay Area Bashers (NBHL Cal),1,0,0,0,0,0
Matthew McEntee,33,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,0,0
Matthew R. Stewart,98,Liverpool Hockey Club (NBHL BUF),2,0,0,0,2,0
Matthew Stewart,29,Liverpool Hockey Club (NBHL BUF),2,0,0,0,2,0
Matty Dunn,21,South Jersey Best Friends (NBHL NJ(2)),2,0,0,0,0,0
Mavrik Goepfert,72,Pitcairn Governors (NBHL PIT),5,0,0,0,0,0
Mel Clark,5,Arlington Plague (NBHL D.C),3,0,0,0,0,0
Michael Andes,8,Marlton Dawgz (NBHL NJ),4,0,0,0,4,0
Michael Bauer,10,South Jersey Atlantis (NBHL NJ(2)),2,0,0,0,0,0
Michael DiLorenzo,22,SoCal Royalty (NBHL Cal),1,0,0,0,0,0
Michael Dipompeo,26,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,0,0
Michael Effler,6,South Sound Sabercats (NBHL PNW),1,0,0,0,0,0
Michael McDonald,16,Seattle Leafs (NBHL PNW),2,0,0,0,0,0
Michael ORegan,91,SoCal Royalty (NBHL Cal),2,0,0,0,0,0
Michael Thomson,22,Orange County Wolves (NBHL Cal),2,0,0,0,0,0
Michael Weiss,54,Philadelphia Fear (NBHL PHI),2,0,0,0,0,0
Michael Willmer,12,South Shore Shamrocks (NBHL NE),3,0,0,0,0,0
Michael Yates,26,South Jersey Atlantis (NBHL NJ(2)),2,0,0,0,2,0
Mike Cleary,97,Lowell Lizard Kings (NBHL MA),1,0,0,0,0,0
Mike Costa,11,South Shore Shamrocks (NBHL NE),3,0,0,0,0,0
Mike Davis,37,Lakeland Caribou (NBHL NJ),5,0,0,0,0,0
Mike Duggan,91,Boston Ball Hockey Team (NBHL MA),2,0,0,0,0,0
Mike Gettinger,88,Portland Golden Eagles (NBHL PNW),2,0,0,0,0,0
Mike Hinton,29,Red River Hot Sauce (NBHL TX),2,0,0,0,2,0
Mike Kavanagh,16,Belmont Heights Kings (NBHL CHI),1,0,0,0,0,0
Mike Kelly,3,Delco Demons (NBHL PHI),1,0,0,0,0,0
Mike King,11,Liverpool Hockey Club (NBHL BUF),2,0,0,0,0,0
Mike Magliola,33,Dallas Fort Worth Marksmen (NBHL TX),4,0,0,0,2,0
Mike Malloy Sr,24,Lakeland Caribou (NBHL NJ),3,0,0,0,0,0
Mike Marchese,88,Lakeland Caribou (NBHL NJ),3,0,0,0,0,0
Mike Oakley,68,Nickel City Smoke (NBHL BUF),2,0,0,0,0,0
Mike Sabatini,48,Chicago Raiders (NBHL CHI),3,0,0,0,0,0
Mike Silva,11,Southcoast Scrappers (NBHL NE),6,0,0,0,0,0
Mike Tesauro,22,Dallas Fort Worth Marksmen (NBHL TX),4,0,0,0,0,0
Mike Thistle,5,Austin Arsenal (NBHL TX),3,0,0,0,0,0
Mike Williams,7,Lakeland Caribou (NBHL NJ),3,0,0,0,2,0
Mike Wilson,16,Pennsylvania Nights Watch (NBHL PHI),2,0,0,0,0,0
Mish Freimann,12,Falls Church Phantoms (NBHL D.C),2,0,0,0,0,0
Mitch Callahan,15,Orange County Wolves (NBHL Cal),1,0,0,0,0,0
Murali Parthasarathy,74,Portland Golden Eagles (NBHL PNW),2,0,0,0,0,0
Naim Dokic,23,Mid Jersey Mutants (NBHL NJ(2)),6,0,0,0,0,0
Nate Batallas,10,Oak Ridge Owls (NBHL MA),2,0,0,0,2,0
Nate Castagna,13,Delco Demons (NBHL PHI),1,0,0,0,4,0
Nate LaMay,47,Rhode Island Angry Goats (NBHL NE),2,0,0,0,0,0
Nate Schultz,20,California Wildfires (NBHL Cal),1,0,0,0,0,0
Nicholas Becker,15,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,2,0
Nicholas Higgins,18,Camden County Cobras (NBHL NJ(2)),2,0,0,0,0,0
Nick Andreadas,67,Delco Demons (NBHL PHI),1,0,0,0,0,0
Nick Calabrese,8,Belmont Heights Kings (NBHL CHI),1,0,0,0,0,0
Nick Divito,29,Evesham Tortugas (NBHL NJ),1,0,0,0,0,0
Nick Ganshirt,77,Belmont Heights Kings (NBHL CHI),1,0,0,0,0,0
Nick Gipson,34,South Sound Sabercats (NBHL PNW),1,0,0,0,0,0
Nick King,27,Lowell Lizard Kings (NBHL MA),1,0,0,0,2,0
Nick Paiva,2,Providence Iron Stags (NBHL NE),5,0,0,0,8,0
Nick Phillips,35,Penn Hills Imperium (NBHL PIT),6,0,0,0,0,0
Nick Procopio,6,Dallas Fort Worth Marksmen (NBHL TX),4,0,0,0,4,0
Nick Shank,51,Penn Hills Battalion (NBHL PIT),5,0,0,0,0,0
Nick Vacchio,26,California Wildfires (NBHL Cal),1,0,0,0,0,0
Nico Lazzaroni,3,Belmont Heights Kings (NBHL CHI),1,0,0,0,0,0
Nino Dasaro,90,Buffalo Goodfellas (NBHL BUF),4,0,0,0,0,0
Noah Coutcher,55,Rhode Island Angry Goats (NBHL NE),2,0,0,0,0,0
Noah Danenhower,2,Lakeland Caribou (NBHL NJ),1,0,0,0,0,0
Noel Fitzpatrick,37,SoCal Royalty (NBHL Cal),2,0,0,0,0,0
Owen Haugan,11,Mays Landing Mojo (NBHL NJ(2)),6,0,0,0,0,0
Owen Larkin,8,Portland Golden Eagles (NBHL PNW),2,0,0,0,0,0
Pat Dolan,43,South Shore Shamrocks (NBHL NE),3,0,0,0,0,0
Pat Hickey,21,Marlton Dawgz (NBHL NJ),2,0,0,0,0,0
Pat Weatherby,10,Bellmawr Hawks (NBHL NJ),3,0,0,0,0,0
Patrick Gillard,21,California Wildfires (NBHL Cal),1,0,0,0,0,0
Paul Phillips,36,Washington D.C Haze (NBHL D.C),1,0,0,0,0,0
Paul Roposa,19,Southcoast Scrappers (NBHL NE),6,0,0,0,0,0
Pavel Skalnik,12,SoCal Royalty (NBHL Cal),2,0,0,0,0,0
Pete Becht,10,Bay Area Bashers (NBHL Cal),1,0,0,0,0,0
Preston Rice,72,Penn Hills Battalion (NBHL PIT),6,0,0,0,2,0
RJ Gibbs,86,Liverpool Hockey Club (NBHL BUF),2,0,0,0,2,0
Radim Adamek,84,SoCal Royalty (NBHL Cal),1,0,0,0,0,0
Rafi Guimaraes,5,Rhode Island Angry Goats (NBHL NE),2,0,0,0,2,0
Ralph Wieder,27,Portland Golden Eagles (NBHL PNW),2,0,0,0,0,0
Randall Miller,31,California Wildfires (NBHL Cal),1,0,0,0,2,0
Randy Schifflin,29,Las Vegas Shiners (NBHL Cal),1,0,0,0,0,0
Randy Treibel,21,Seattle Leafs (NBHL PNW),2,0,0,0,0,0
Raul Figueroa Jr,92,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,0,0
Raul Figueroa Sr,3,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,0,0
Ray Yelle,72,Austin Arsenal (NBHL TX),4,0,0,0,0,0
Reiley Wiant,11,Mon Valley Warbirds (NBHL PIT),3,0,0,0,0,0
Reuben Martinez,22,Pennsylvania Nights Watch (NBHL PHI),2,0,0,0,2,0
Rich Guard,3,Buffalo Goodfellas (NBHL BUF),4,0,0,0,0,0
Rich Hellander,13,Evesham Tortugas (NBHL NJ),1,0,0,0,0,0
Rich Wagner,17,Washington D.C Haze (NBHL D.C),1,0,0,0,0,0
Rick Krajewski,33,California Wildfires (NBHL Cal),1,0,0,0,0,0
Rick Martinez,8,Las Vegas Shiners (NBHL Cal),1,0,0,0,0,0
Rick Scarsella,89,Nickel City Smoke (NBHL BUF),2,0,0,0,0,0
Rick Zinger,16,Pitcairn Governors (NBHL PIT),4,0,0,0,0,0
Ricky Hess,97,Mays Landing Mojo (NBHL NJ(2)),2,0,0,0,0,0
Ricky Mastropietro,7,Boston Ball Hockey Team (NBHL MA),1,0,0,0,0,0
Riley Spencer,16,Red River Hot Sauce (NBHL TX),2,0,0,0,0,0
Rob Basile,25,Bellmawr Hawks (NBHL NJ),3,0,0,0,0,0
Rob Marciano,23,Chicago Dolphins (NBHL CHI),1,0,0,0,0,0
Rob Sangha,4,SoCal Royalty (NBHL Cal),2,0,0,0,6,0
Rob Shourds,50,South Jersey Space Pirates (NBHL NJ(2)),5,0,0,0,4,0
Robby Carpenter,28,Twin City Classics (NBHL MA),1,0,0,0,0,0
Robby Mangini,72,Mid Jersey Mutants (NBHL NJ(2)),5,0,0,0,0,0
Robert Candeloro,2,Burnside Bears (NBHL PNW),1,0,0,0,0,0
Robert Griffith,68,Camden County Cobras (NBHL NJ(2)),2,0,0,0,0,0
Robert Halyama,32,Steel City Show Stoppers (NBHL PIT),2,0,0,0,4,0
Robert Thayne,5,Burnside Bears (NBHL PNW),1,0,0,0,0,0
Rodney Stahl,97,Philadelphia Heat (NBHL PHI),2,0,0,0,0,0
Ross McMullan,13,Las Vegas Shiners (NBHL Cal),1,0,0,0,0,0
Russel England,55,Chicago Dolphins (NBHL CHI),1,0,0,0,0,0
Ryan Alves,88,Southcoast Scrappers (NBHL NE),6,0,0,0,0,0
Ryan Canoy,42,Chicago Raiders (NBHL CHI),3,0,0,0,0,0
Ryan Gill,77,South Jersey Space Pirates (NBHL NJ(2)),3,0,0,0,0,0
Ryan Gruszka,9,Red River Hot Sauce (NBHL TX),2,0,0,0,0,0
Ryan Kelly,55,South Jersey Nights Watch (NBHL NJ),4,0,0,0,0,0
Ryan Landers,3,Austin Arsenal (NBHL TX),3,0,0,0,0,0
Ryan Long,22,South Jersey Atlantis (NBHL NJ(2)),2,0,0,0,0,0
Ryan Maerker,2,Dallas Fort Worth Marksmen (NBHL TX),4,0,0,0,0,0
Ryan Mannello,44,South Jersey Best Friends (NBHL NJ(2)),4,0,0,0,0,0
Ryan McGinnis,88,Nickel City Smoke (NBHL BUF),2,0,0,0,0,0
Ryan Morrow,33,Evesham Tortugas (NBHL NJ),1,0,0,0,0,0
Ryan Nauman,77,Harrisburg Hustle (NBHL PHI),2,0,0,0,0,0
Ryan Nix,27,Steel City Show Stoppers (NBHL PIT),2,0,0,0,0,0
Ryan Ober,76,Pitcairn Governors (NBHL PIT),5,0,0,0,0,0
Ryan Pavlik,21,Evesham Tortugas (NBHL NJ),1,0,0,0,0,0
Ryan Peralta,71,Central Mass Sea Bass (NBHL MA),6,0,0,0,0,0
Ryan Sutliffe,91,Las Vegas Shiners (NBHL Cal),1,0,0,0,0,0
Ryan Wilson,72,Twin City Classics (NBHL MA),1,0,0,0,0,0
Salvatore Ippolito,85,Seattle Cold Snacks (NBHL PNW),2,0,0,0,0,0
Sam Brinker,12,Washington D.C Haze (NBHL D.C),3,0,0,0,0,0
Sam Espinoza,22,Chicago Raiders (NBHL CHI),1,0,0,0,0,0
Sam Lewis,88,Pitcairn Governors (NBHL PIT),2,0,0,0,0,0
Sam Loster,96,Buffalo Goodfellas (NBHL BUF),4,0,0,0,0,0
Sam Melisi,1,Lowell Lizard Kings (NBHL MA),1,0,0,0,0,0
Sam Stenning,14,Providence Iron Stags (NBHL NE),5,0,0,0,1,0
Sammy Torres,14,Buffalo Goodfellas (NBHL BUF),4,0,0,0,0,0
Scott Daniliuk,13,Lowell Lizard Kings (NBHL MA),1,0,0,0,0,0
Scott Monahan,1,South Jersey Atlantis (NBHL NJ(2)),2,0,0,0,0,0
Scott Phillips,21,South Jersey Vikings (NBHL NJ(2)),2,0,0,0,0,0
Scott Vassallo,1,Bellmawr Hawks (NBHL NJ),3,0,0,0,0,0
Scott Veniziale,25,Marlton Dawgz (NBHL NJ),3,0,0,0,0,0
Scott Wargin,69,Chicago Southsiders (NBHL CHI),3,0,0,0,0,0
Sean Godfrey,27,Red River Hot Sauce (NBHL TX),2,0,0,0,0,0
Sean Leeser,7,South Jersey Atlantis (NBHL NJ(2)),2,0,0,0,0,0
Sean Lynch,28,Mays Landing Mojo (NBHL NJ(2)),6,0,0,0,4,0
Sean Najowicz,3,Mon Valley Warbirds (NBHL PIT),3,0,0,0,0,0
Sean OBrien,65,Belmont Heights Kings (NBHL CHI),1,0,0,0,0,0
Sean Smith,44,SoCal Royalty (NBHL Cal),2,0,0,0,0,0
Sean Vieira,87,Rhode Island Angry Goats (NBHL NE),2,0,0,0,0,0
Seth Ferris,23,Mon Valley Warbirds (NBHL PIT),3,0,0,0,2,0
Shane Ferris,24,Pittsburgh Pioneers (NBHL PIT),5,0,0,0,0,0
Shane Polomarenko,88,Dallas Fort Worth Marksmen (NBHL TX),4,0,0,0,0,0
Shane Stanton,16,Portland Golden Eagles (NBHL PNW),2,0,0,0,0,0
Shaw Steve,77,Penn Hills Imperium (NBHL PIT),6,0,0,0,0,0
Shawn Cress,38,California Wildfires (NBHL Cal),1,0,0,0,10,0
Shayne Mooar,71,Boston Ball Hockey Team (NBHL MA),2,0,0,0,0,0
Stephen Stefan,19,Delco Demons (NBHL PHI),1,0,0,0,0,0
Steve Basile,10,South Jersey Vikings (NBHL NJ(2)),2,0,0,0,0,0
Steve Edwards,0,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,0,0
Steve Emes,22,Harrisburg Hustle (NBHL PHI),2,0,0,0,0,0
Steve Natale,17,California Wildfires (NBHL Cal),1,0,0,0,0,0
Steve Zimmerman,98,Bellmawr Hawks (NBHL NJ),3,0,0,0,8,0
Steven Andre,9,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,0,0
Steven Osherow,12,Evesham Tortugas (NBHL NJ),1,0,0,0,0,0
Steven Saunders,19,Burnside Bears (NBHL PNW),1,0,0,0,0,0
Sumi Dave,0,SoCal Royalty (NBHL Cal),2,0,0,0,0,0
TJ Morris,61,South Jersey Space Pirates (NBHL NJ(2)),5,0,0,0,0,0
Tanner Ruppert,16,Lakeland Caribou (NBHL NJ),5,0,0,0,2,0
Terry ONeill,9,Arlington Plague (NBHL D.C),3,0,0,0,0,0
Tim Hughes,19,Liverpool Hockey Club (NBHL BUF),2,0,0,0,0,0
Tim Komperda,10,Chicago Dolphins (NBHL CHI),1,0,0,0,0,0
Tim Mattonen,24,Seattle Leafs (NBHL PNW),2,0,0,0,0,0
Toby Nunn,44,Austin Arsenal (NBHL TX),4,0,0,0,2,0
Tod Blankenship,77,Portland Golden Eagles (NBHL PNW),2,0,0,0,0,0
Todd Levy,96,Pitcairn Governors (NBHL PIT),4,0,0,0,0,0
Tom Altomare,38,Mid Jersey Mutants (NBHL NJ(2)),5,0,0,0,0,0
Tom Hughes,17,Nickel City Smoke (NBHL BUF),2,0,0,0,0,0
Tom Tramontana,8,New Jersey Dudes (NBHL NJ(2)),1,0,0,0,0,0
Tommy Byrne,79,Philadelphia Heat (NBHL PHI),2,0,0,0,0,0
Tommy McLaughlin,92,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,0,0
Tommy Scott,72,Red River Hot Sauce (NBHL TX),2,0,0,0,0,0
Tommy Sposito,13,Penn Hills Imperium (NBHL PIT),6,0,0,0,0,0
Tony Gavulic,4,Steel City Show Stoppers (NBHL PIT),2,0,0,0,0,0
Travis Bliss,11,Oak Ridge Owls (NBHL MA),2,0,0,0,0,0
Trevor Altmann,55,Lakeland Caribou (NBHL NJ),4,0,0,0,0,0
Tripp Kennedy,19,Philadelphia Powerhouse (NBHL PHI),1,0,0,0,0,0
Tyeler Keith,27,Dallas Fort Worth Marksmen (NBHL TX),3,0,0,0,0,0
Tyler Cook,22,Red River Hot Sauce (NBHL TX),2,0,0,0,0,0
Tyler Grajek,10,South Sound Sabercats (NBHL PNW),1,0,0,0,0,0
Tyler Green,17,Red River Hot Sauce (NBHL TX),2,0,0,0,0,0
Tyler Macinnis,27,Burnside Bears (NBHL PNW),1,0,0,0,0,0
Tyler Ritchie,18,Pittsburgh Pioneers (NBHL PIT),6,0,0,0,4,0
Tyler Schlimme,10,Pennsylvania Nights Watch (NBHL PHI),2,0,0,0,0,0
Tyler Shute,8,South Jersey Vikings (NBHL NJ(2)),2,0,0,0,2,0
Tyler Walters,43,Mon Valley Warbirds (NBHL PIT),3,0,0,0,0,0
Tyler Zimecki,23,Burnside Bears (NBHL PNW),1,0,0,0,0,0
Vic Lord,19,California Wildfires (NBHL Cal),1,0,0,0,0,0
Vince Offer,44,California Wildfires (NBHL Cal),1,0,0,0,0,0
Vincent Payette,32,Seattle Cold Snacks (NBHL PNW),2,0,0,0,0,0
Vincent Scarsella,7,Nickel City Smoke (NBHL BUF),2,0,0,0,0,0
Vinny Lawson Jr,1,Philadelphia Fear (NBHL PHI),2,0,0,0,0,0
Walter Read,24,South Shore Shamrocks (NBHL NE),3,0,0,0,0,0
Wayne Barrett,20,Falls Church Phantoms (NBHL D.C),2,0,0,0,0,0
Will Augustine,97,Delco Demons (NBHL PHI),1,0,0,0,0,0
Will Gallen,47,Lakeland Caribou (NBHL NJ),5,0,0,0,0,0
Will Hughes,81,Philadelphia Fear (NBHL PHI),2,0,0,0,0,0
Will Siracusa,61,New Jersey Dudes (NBHL NJ(2)),2,0,0,0,0,0
William Dodson,98,Nickel City Smoke (NBHL BUF),2,0,0,0,0,0
William Scigliano,9,Las Vegas Shiners (NBHL Cal),1,0,0,0,0,0
William Young,20,Burnside Bears (NBHL PNW),1,0,0,0,0,0
Willie McKeen,85,Mon Valley Warbirds (NBHL PIT),3,0,0,0,0,0
Wyatt Wylie,65,Seattle Leafs (NBHL PNW),2,0,0,0,0,0
Zac Carcanague,17,New Jersey Dudes (NBHL NJ(2)),2,0,0,0,0,0
Zac Cozine,10,Red River Hot Sauce (NBHL TX),2,0,0,0,2,0
Zach Dunn,15,Pennsylvania Nights Watch (NBHL PHI),2,0,0,0,0,0
Zach Grace,14,Marlton Dawgz (NBHL NJ),2,0,0,0,0,0
Zach Sawyer,19,South Jersey Best Friends (NBHL NJ(2)),4,0,0,0,10,0
Zach Trejo,8,Chicago Dolphins (NBHL CHI),1,0,0,0,0,0
Zach Withers,19,Penn Hills Imperium (NBHL PIT),5,0,0,0,2,0
Zachary Amaral,8,Rhode Island Angry Goats (NBHL NE),2,0,0,0,0,0
Zackery Hill,27,Las Vegas Shiners (NBHL Cal),1,0,0,0,0,0
Zdenko Viazanko,81,SoCal Royalty (NBHL Cal),2,0,0,0,0,0
Zenas Kennedy,9,Providence Iron Stags (NBHL NE),5,0,0,0,0,0
